,Code,Code6,CommonName,GenusSpecies
311,GSTS,PANSAN,Great Swallow-tailed Swift,Panyptila sanctihieronymi
312,ANPS,TACPHO,Antillean Palm-Swift,Tachornis phoenicobia
313,WNJA,FLOMEL,White-necked Jacobin,Florisuga mellivora
314,WTSI,EUTAQU,White-tipped Sicklebill,Eutoxeres aquila
315,BRHE,GLAAEN,Bronzy Hermit,Glaucis aeneus
316,RBHE,GLAHIR,Rufous-breasted Hermit,Glaucis hirsutus
317,BTBA,THRRUC,Band-tailed Barbthroat,Threnetes ruckeri
318,GREH,PHAGUY,Green Hermit,Phaethornis guy
319,MEHE,PHAMEX,Mexican Hermit,Phaethornis mexicanus
320,LBIH,PHALON,Long-billed Hermit,Phaethornis longirostris
321,PBHE,PHAANT,Pale-bellied Hermit,Phaethornis anthophilus
322,STHR,PHASTR,Stripe-throated Hermit,Phaethornis striigularis
323,GFRL,DORLUD,Green-fronted Lancebill,Doryfera ludovicae
324,BRVI,COLDEL,Brown Violetear,Colibri delphinae
325,MEVI,COLTHA,Mexican Violetear,Colibri thalassinus
326,LEVI,COLCYA,Lesser Violetear,Colibri cyanotus
327,TBHU,ANDAEQ,Tooth-billed Hummingbird,Androdon aequatorialis
328,PCFA,HELBAR,Purple-crowned Fairy,Heliothryx barroti
329,RTOH,CHRMOS,Ruby-topaz Hummingbird,Chrysolampis mosquitus
330,GNBM,ANTPRE,Green-breasted Mango,Anthracothorax prevostii
331,BTMA,ANTNIG,Black-throated Mango,Anthracothorax nigricollis
332,VERM,ANTVER,Veraguan Mango,Anthracothorax veraguensis
333,HIMA,ANTDOM,Hispaniolan Mango,Anthracothorax dominicus
334,PRMA,ANTAUR,Puerto Rican Mango,Anthracothorax aurulentus
335,GMAG,ANTVIR,Green Mango,Anthracothorax viridis
336,JAMA,ANTMAN,Jamaican Mango,Anthracothorax mango
337,PTCA,EULJUG,Purple-throated Carib,Eulampis jugularis
338,GTCA,EULHOL,Green-throated Carib,Eulampis holosericeus
339,GRET,DISCON,Green Thorntail,Discosura conversii
340,SCCO,LOPBRA,Short-crested Coquette,Lophornis brachylophus
341,RCRC,LOPDEL,Rufous-crested Coquette,Lophornis delattrei
342,BCCO,LOPHEL,Black-crested Coquette,Lophornis helenae
343,WCCO,LOPADO,White-crested Coquette,Lophornis adorabilis
344,GRPU,HAPAUR,Greenish Puffleg,Haplophaedia aureliae
345,GCBR,HELJAC,Green-crowned Brilliant,Heliodoxa jacula
346,RIHU,EUGFUL,Rivoli's Hummingbird,Eugenes fulgens
